index,airborne delay cost,ground delay cost,transform
"[35, 31, 28, 36, 35, 35, 35, 33, 36, 36, 33, 34, 31, 36, 27, 23, 28, 25]",2411.4564940225014,115.0,0
"[35, 31, 28, 36, 35, 35, 35, 33, 36, 36, 33, 33, 31, 37, 27, 23, 28, 25]",2411.4564940225014,115.0,1
"[34, 32, 28, 36, 35, 35, 35, 33, 36, 36, 33, 34, 31, 36, 27, 23, 28, 25]",2409.1194918954034,117.5,0
"[34, 31, 29, 36, 35, 35, 35, 33, 36, 36, 33, 34, 31, 36, 27, 23, 28, 25]",2409.1194918954034,117.5,1
"[34, 32, 27, 36, 36, 35, 35, 33, 36, 36, 33, 34, 31, 36, 27, 23, 28, 25]",2409.1194918954034,117.5,1
"[34, 32, 27, 36, 36, 35, 35, 33, 36, 36, 33, 34, 31, 36, 27, 23, 28, 25]",2409.1194918954034,117.5,1
"[34, 32, 28, 36, 35, 35, 35, 32, 37, 36, 33, 34, 31, 36, 27, 23, 28, 25]",2409.1194918954034,117.5,1
"[34, 32, 28, 36, 35, 35, 35, 33, 36, 36, 33, 34, 31, 36, 27, 22, 29, 25]",2411.9570122611467,120.0,0
"[34, 32, 27, 36, 36, 35, 35, 33, 36, 36, 33, 34, 31, 36, 27, 22, 29, 25]",2411.9570122611467,120.0,1
"[34, 32, 28, 36, 35, 35, 35, 33, 36, 35, 34, 34, 31, 36, 27, 22, 29, 25]",2405.2595121176246,122.5,0
"[34, 32, 28, 35, 36, 35, 35, 33, 36, 35, 34, 34, 31, 36, 27, 22, 29, 25]",2405.2595121176246,122.5,1
"[34, 32, 27, 37, 35, 35, 35, 33, 36, 35, 34, 34, 31, 36, 27, 22, 29, 25]",2405.2595121176246,122.5,1
"[34, 32, 28, 35, 36, 35, 35, 33, 36, 35, 34, 34, 31, 36, 27, 22, 29, 25]",2405.2595121176246,122.5,1
"[34, 32, 28, 36, 35, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,0
"[34, 32, 27, 36, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 27, 36, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 28, 35, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 28, 35, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 28, 35, 35, 36, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 27, 36, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 28, 35, 35, 36, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 28, 35, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 27, 36, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 27, 36, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 27, 37, 35, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 27, 36, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 27, 36, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
